Filename,Page Source Type,Relevant vs. Non Relevant
Alternet Page - Adidas.png,Political - Liberal,Non-Relevant
Alternet Page - Impeach.png,Political - Liberal,Relevant
Alternet Page - Liberal Quiz.png,Political - Liberal,Relevant
Alternet Page - NRA.png,Political - Liberal,Relevant
Alternet Page - Polar Bear.png,Political - Liberal,Relevant
Alternet Page - Wallet.png,Political - Liberal,Non-Relevant
Alternet Page - Fasion.png,Political - Liberal,Non-Relevant
Alternet Page - bp.png,Political - Liberal,Non-Relevant
Breitbart Page - Adias.PNG,Political - Conservative,Non-Relevant
Breitbart Page - Impeach.png,Political - Conservative,Relevant
Breitbart Page - Liberal Quiz.PNG,Political - Conservative,Relevant
Breitbart Page - NRA.PNG,Political - Conservative,Relevant
Breitbart Page - Wallet.png,Political - Conservative,Non-Relevant
Breitbart Page - Wildlife.png,Political - Conservative,Relevant
Breitbart Page - bp.png,Political - Conservative,Non-Relevant
Breitbart Page - Fasion.png,Political - Conservative,Non-Relevant
Daily Kos Page - Adidas.png,Political - Liberal,Non-Relevant
Daily Kos Page - Impeach.png,Political - Liberal,Relevant
Daily Kos Page - Liberal Quiz.png,Political - Liberal,Relevant
Daily Kos Page - NRA.png,Political - Liberal,Relevant
Daily Kos Page - Polar Bear.png,Political - Liberal,Relevant
Daily Kos Page - Wallet.png,Political - Liberal,Non-Relevant
Daily Kos Page - Fasion.png,Political - Liberal,Non-Relevant
Daily Kos Page - bp.png,Political - Liberal,Non-Relevant
NewsMax Page - Adidas.png,Political - Conservative,Non-Relevant
NewsMax Page - Impeach.png,Political - Conservative,Relevant
NewsMax Page - Liberal Quiz.png,Political - Conservative,Relevant
NewsMax Page - NRA.png,Political - Conservative,Relevant
NewsMax Page - Polar Bear.png,Political - Conservative,Relevant
NewsMax Page - Wallet.png,Political - Conservative,Non-Relevant
NewsMax Page - Fasion.png,Political - Conservative,Non-Relevant
NewsMax Page - bp.png,Political - Conservative,Non-Relevant
NYT Page - Adidas.png,Non-Political,Relevant
NYT Page - Impeach.png,Non-Political,Non-Relevant
NYT Page - Liberal Quiz.png,Non-Political,Non-Relevant
NYT Page - NRA.png,Non-Political,Non-Relevant
NYT Page - Polar Bear.png,Non-Political,Non-Relevant
NYT Page - Wallet.png,Non-Political,Relevant
NYT Page - bp.png,Non-Political,Relevant
NYT Page - Fasion.png,Non-Political,Relevant
NYT Page2 - Adidas.png,Non-Political,Relevant
NYT Page2 - Impeach.png,Non-Political,Non-Relevant
NYT Page2 - Liberal Quiz.png,Non-Political,Non-Relevant
NYT Page2 - NRA.png,Non-Political,Non-Relevant
NYT Page2 - Polar Bear.png,Non-Political,Non-Relevant
NYT Page2 - Wallet.png,Non-Political,Relevant
NYT Page2 - bp.png,Non-Political,Relevant
NYT Page2 - Fasion.png,Non-Political,Relevant
Food - Adidas.png,Non-Political,Relevant
Food - Impeach.png,Non-Political,Non-Relevant
Food - Liberal Quiz.png,Non-Political,Non-Relevant
Food - NRA.png,Non-Political,Non-Relevant
Food - Polar Bear.png,Non-Political,Non-Relevant
Food - Wallet.png,Non-Political,Relevant
Food - bp.png,Non-Political,Relevant
Food - Fasion.png,Non-Political,Relevant
Book - Adidas.png,Non-Political,Relevant
Book - Impeach.png,Non-Political,Non-Relevant
Book - Liberal Quiz.png,Non-Political,Non-Relevant
Book - NRA.png,Non-Political,Non-Relevant
Book - Polar Bear.png,Non-Political,Non-Relevant
Book - Wallet.png,Non-Political,Relevant
Book - bp.png,Non-Political,Relevant
Book - Fasion.png,Non-Political,Relevant
