surveyId,hitId,AssignmentId,workerId,CountryCriteria,age,gender,education,occupation,Hispanic,race,Political,zipcode,duration,feelAboutAd,rating,image,zip,City,State Code,city_state,density,State,Region,Division,page_type,relevant
37,3K3IX1W4S74FGUTVPL7JW9SEWG3PAM,333U7HK6IBSJFAR34KY2EY9XEPZDJF,A101CCS1C3DVWQ,Yes,41,Female,some_college,employed_other,No,white,lean-democrat,02050,208,3,1,Alternet Page - Fasion.png,02050,Marshfield,MA,"Marshfield, MA",875,Massachusetts,Northeast,New England,Political - Liberal,Non-Relevant
58,3566S7OX5EWUG0CVXGK9LM8QSSU176,3OWEPKL08BPZHRHES5N87DGI1YI7N1,A10463CXXO00VE,Yes,38,Male,grad,employed_biz,No,white,lean-republican,80920,306,3,1,Alternet Page - Adidas.png,80920,Colorado Springs,CO,"Colorado Springs, CO",3051,Colorado,West,Mountain,Political - Liberal,Non-Relevant
44,3TFJJUELSI27H2PN71SY6RA9L9X2CF,36V4Q8R5ZMD35R1TC3HEUP8D1YYMQC,A10BX5AD14TGMB,Yes,22,Male,bachelors,employed_stem,No,white,republican,53151,87,5,2,Alternet Page - Fasion.png,53151,New Berlin,WI,"New Berlin, WI",1802,Wisconsin,Midwest,East North Central,Political - Liberal,Non-Relevant
78,3YD0MU1NC3EQAOPVTZD2WN1TWM07A0,32ZKVD547H0FFZRUN3F93148F80B3V,A10ZGXVKF5UG4A,Yes,27,Male,associates,employed_stem,Yes,white,democrat,67745,158,5,4,Alternet Page - Fasion.png,67745,Mc Donald,KS,"Mc Donald, KS",1,Kansas,Midwest,West North Central,Political - Liberal,Non-Relevant
31,3PZDSVZ3J6U0BK1105K0FH1J4R6N4D,3OONKJ5DKEW41OKG61Z1R42JAY0OB5,A11318F9PB5FFY,Yes,30,Male,bachelors,employed_other,Yes,asian,democrat,99524,549,5,2,Alternet Page - Fasion.png,99524,Anchorage,AK,NA,NA,Alaska,West,Pacific,Political - Liberal,Non-Relevant
43,3SCKNODZ0YTXU7JK23I7ITLTVTX7NI,358010RM5G664BWEC9DXBTNJPUNXVR,A11Q0SPI53J9DC,Yes,35,Male,some_college,employed_other,Yes,other,democrat,78207,260,2,1,Alternet Page - bp.png,78207,San Antonio,TX,"San Antonio, TX",7644,Texas,South,West South Central,Political - Liberal,Non-Relevant
76,3I7SHAD35N9RCPYKQ2375EWTQ3PM7Z,3U4J9857OGOXGISHPFIZGIGOKA2B7G,A121T4P5NKCHCS,Yes,58,Male,some_college,employed_biz,No,white,republican,95864,319,2,1,Alternet Page - Fasion.png,95864,Sacramento,CA,"Sacramento, CA",3499,California,West,Pacific,Political - Liberal,Non-Relevant
87,3VEI3XUCZSA7FBFCRWT5RZHOWKURPZ,33UKMF931BXKA2J524CLL8ESFEQTTX,A12NNK9ZEXT9WK,Yes,38,Female,bachelors,employed_other,No,white,democrat,80922,369,2,2,Alternet Page - bp.png,80922,Colorado Springs,CO,"Colorado Springs, CO",4448,Colorado,West,Mountain,Political - Liberal,Non-Relevant
88,3MXX6RQ9EWI0E5DEGKXSJ66E46AP4E,3SUWZRL0M0QCJLQWGWFXBCMDSW4E6T,A12V2IEWROX7ZQ,Yes,27,Female,grad,employed_biz,No,white,democrat,29418,742,5,2,Alternet Page - Adidas.png,29418,North Charleston,SC,"North Charleston, SC",1746,South Carolina,South,South Atlantic,Political - Liberal,Non-Relevant
73,3MD8CKRQZ00BT0CEWJOLU3VCNLOJRR,3QIYRE09Y5UL652C3P6Z63P5YDPN1T,A1310ESSXZSFMQ,Yes,51,Female,some_college,employed_other,No,white,democrat,78660,347,2,4,Alternet Page - bp.png,78660,Pflugerville,TX,"Pflugerville, TX",1519,Texas,South,West South Central,Political - Liberal,Non-Relevant
88,3MXX6RQ9EWI0E5DEGKXSJ66E46AP4E,308XBLVESKH7Y1CWYTG5LZ7OLMBBRU,A1358QFQ0972QH,Yes,28,Female,bachelors,unemployed,Yes,native,lean-republican,60478,252,2,1,Alternet Page - Adidas.png,60478,Country Club Hills,IL,"Country Club Hills, IL",3240,Illinois,Midwest,East North Central,Political - Liberal,Non-Relevant
33,3D3B8GE89341BBJQXFTJ0EHUQYLP97,3180JW2OT6POBXCAPEGJGML51815JZ,A13QHXMU0OMNAY,Yes,29,Female,bachelors,employed_biz,No,white,democrat,33102,795,4,1,Alternet Page - bp.png,33102,Miami,FL,NA,NA,Florida,South,South Atlantic,Political - Liberal,Non-Relevant
33,3D3B8GE89341BBJQXFTJ0EHUQYLP97,3QFUFYSY90SQACMESJ6OWWNZ85PF41,A13U5OK3GJ10KC,Yes,48,Male,bachelors,employed_biz,No,white,republican,55076,208,1,4,Alternet Page - bp.png,55076,Inver Grove Heights,MN,"Inver Grove Heights, MN",2341,Minnesota,Midwest,West North Central,Political - Liberal,Non-Relevant
85,3X55NP42EPTFW9UAG6S991E8Q6EP3T,3ND9UOO81MFOJ6FUO0F5M1BAPUQWLP,A13Z62W21GNTFB,Yes,30,Female,bachelors,employed_stem,Yes,asian,republican,32004,525,3,3,Alternet Page - Fasion.png,32004,Ponte Vedra Beach,FL,NA,NA,Florida,South,South Atlantic,Political - Liberal,Non-Relevant
29,3TX9T2ZCBAE61BY4DZ1D5WRJYYDWZP,3X65QVEQI20F589P79F4A747XESCLG,A14GHIGOJYGGEE,Yes,32,Male,bachelors,employed_biz,Yes,native,democrat,01139,2591,4,4,Alternet Page - Fasion.png,01139,Springfield,MA,NA,NA,Massachusetts,Northeast,New England,Political - Liberal,Non-Relevant
86,3UV0D2KX1NWONSOK2H1N7CSA20NF41,3ZY8KE4ISLGMVEV2QVI5HLRQSS6VQ0,A14M4TA8GBR6LM,Yes,60,Female,some_college,employed_biz,No,white,democrat,03810,169,4,1,Alternet Page - Wallet.png,03810,Alton Bay,NH,"Alton Bay, NH",67,New Hampshire,Northeast,New England,Political - Liberal,Non-Relevant
41,3GL25Y68447LR44B8F75ZD9HSW1XM2,3GNCZX450K0H3ERPFNCKLTN32LDPAU,A14RN18WKWWP7W,Yes,19,Male,highschool,unemployed,No,white,democrat,40475,117,2,4,Alternet Page - Adidas.png,40475,Richmond,KY,"Richmond, KY",204,Kentucky,South,East South Central,Political - Liberal,Non-Relevant
84,3538U0YQ1G735W5G23W4X704O0RF3G,333U7HK6IBSJFAR34KY2EY9XEQLDJ3,A14VE6G1JFUQQG,Yes,70,Male,grad,employed_stem,No,white,lean-republican,27560,391,1,1,Alternet Page - Fasion.png,27560,Morrisville,NC,"Morrisville, NC",776,North Carolina,South,South Atlantic,Political - Liberal,Non-Relevant
76,3I7SHAD35N9RCPYKQ2375EWTQ3PM7Z,3L4D84MIL150RQW5QGHS5JOV6I6JHA,A14WLAP6TCEKO0,Yes,35,Male,bachelors,employed_stem,No,african-american,democrat,60628,190,2,2,Alternet Page - Fasion.png,60628,Chicago,IL,"Chicago, IL",6612,Illinois,Midwest,East North Central,Political - Liberal,Non-Relevant
78,3YD0MU1NC3EQAOPVTZD2WN1TWM07A0,3X31TUMD7ZZVI5ZRRCQKTBLGTIG1LW,A15340BRCER2UO,Yes,50,Male,grad,employed_biz,No,white,independent,45069,545,1,2,Alternet Page - Fasion.png,45069,West Chester,OH,"West Chester, OH",1725,Ohio,Midwest,East North Central,Political - Liberal,Non-Relevant
57,3E9VAUV7BXR9P8LWG83290LQ0L9AY4,3NKQQ8O390ISTQ2XGJ2GL0I8V5CUD7,A154J6S2Z9BOKF,Yes,35,Female,associates,student,No,white,lean-republican,72450,405,1,2,Alternet Page - Wallet.png,72450,Paragould,AR,"Paragould, AR",126,Arkansas,South,West South Central,Political - Liberal,Non-Relevant
64,39HYCOOPKPY7TYZUHF6T566PCESDMJ,3C5W7UE9CH3NEO25YHC6OX46Y1QXMP,A15UQR1BGDXBGH,Yes,30,Female,some_college,unemployed,No,white,republican,72904,122,2,1,Alternet Page - Wallet.png,72904,Fort Smith,AR,"Fort Smith, AR",1669,Arkansas,South,West South Central,Political - Liberal,Non-Relevant
70,3HYV4299H19X0FBQJ97U66NFSL48EJ,3DOCMVPBTPROKC918C4X3A281ETNN0,A16008I8W1IAWG,Yes,51,Other,some_college,employed_other,No,white,republican,33950,455,2,1,Alternet Page - bp.png,33950,Punta Gorda,FL,"Punta Gorda, FL",923,Florida,South,South Atlantic,Political - Liberal,Non-Relevant
31,3PZDSVZ3J6U0BK1105K0FH1J4R6N4D,3GNA64GUZGH5XKGNK40SDNXRF3T5QQ,A16KEXQ41TFLJ6,Yes,34,Male,bachelors,student,No,white,republican,99514,289,1,1,Alternet Page - Fasion.png,99514,Anchorage,AK,NA,NA,Alaska,West,Pacific,Political - Liberal,Non-Relevant
79,3LEG2HW4UG0EKE9XY3IZEXVCIMRF25,33SA9F9TRZ7AD0527ES196LQGYZWEE,A16MSOHBGQO0FG,Yes,32,Female,grad,employed_other,No,white,democrat,64105,212,1,1,Alternet Page - bp.png,64105,Kansas City,MO,"Kansas City, MO",4655,Missouri,Midwest,West North Central,Political - Liberal,Non-Relevant
75,3UOMW19E6EJZGZ8APKUW4YDL5JQC5S,3VFJCI1K41C3PIK7EF8JMAYL1ZLGRY,A16QX57W3GNHNZ,Yes,25,Male,bachelors,employed_stem,No,white,democrat,48888,170,3,5,Alternet Page - bp.png,48888,Stanton,MI,"Stanton, MI",72,Michigan,Midwest,East North Central,Political - Liberal,Non-Relevant
78,3YD0MU1NC3EQAOPVTZD2WN1TWM07A0,3I7DHKZYGPD86VQE6OPY1OTD824F5S,A16SOGCI9GXDOS,Yes,28,Female,grad,employed_biz,No,white,democrat,75766,207,4,4,Alternet Page - Fasion.png,75766,Jacksonville,TX,"Jacksonville, TX",86,Texas,South,West South Central,Political - Liberal,Non-Relevant
43,3SCKNODZ0YTXU7JK23I7ITLTVTX7NI,3JMSRU9HQK7XYB5XH4N5N42C9OCEVZ,A173A97OFDAX9F,Yes,34,Female,some_college,employed_other,No,white,democrat,02140,220,3,4,Alternet Page - bp.png,02140,Cambridge,MA,"Cambridge, MA",15262,Massachusetts,Northeast,New England,Political - Liberal,Non-Relevant
