ad_name_1,ad_name_2,ad_name_3,ad_name_4,ad_name_5,ad_name_6,ad_name_7,ad_name_8,ad_name_9,ad_name_10,ad_name_11,ad_name_12,ad_name_13,ad_name_14,ad_name_15,ad_name_16
Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
Alternet Page - Adidas.png,Alternet Page - NRA.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Adias.PNG,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Wallet.png,Daily Kos Page - NRA.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Fasion.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - Impeach.png,NYT Page2 - Wallet.png
Alternet Page - Wallet.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - Fasion.png,Breitbart Page - Impeach.png,Daily Kos Page - bp.png,Daily Kos Page - Polar Bear.png,Food - NRA.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - NRAAd.png,NYT Page - Impeach.png,NYT Page - Adidas.png,NYT Page2 - Polar Bear.png,NYT Page2 - Wallet.png
Alternet Page - Fasion.png,Alternet Page - Liberal Quiz.png,Book - NRA.png,Book - bp.png,Breitbart Page - bp.png,Breitbart Page - NRA.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Polar Bear.png,Food - Polar Bear.png,Food - bp.png,NewsMax Page - Wallet.png,NewsMax Page - Impeach.png,NYT Page - Polar Bear.png,NYT Page - Adidas.png,NYT Page2 - Liberal Quiz.png,NYT Page2 - Fasion.png
Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page  - Adidas.png,Daily Kos Page - NRA.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Impeach.png,NYT Page - Polar Bear.png,NYT Page - Wallet.png,NYT Page2 - Liberal Quiz.png,NYT Page2 - bp.png
Alternet Page - Fasion.png,Alternet Page - Liberal Quiz.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - NRA.PNG,Daily Kos Page - Wallet.png,Daily Kos Page - Liberal Quiz.png,Food - Polar Bear.png,Food - bp.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - Impeach.png,NYT Page - bp.png,NYT Page2 - Liberal Quiz.png,NYT Page2 - bp.png
Alternet Page - Wallet.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - Adias.PNG,Breitbart Page - NRA.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Polar Bear.png,Food - Liberal Quiz.png,Food - Adidas.png,NewsMax Page - Adidas.png,NewsMax Page - NRAAd.png,NYT Page - Polar Bear.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
Alternet Page - Fasion.png,Alternet Page - Impeach.png,Book - Impeach.png,Book - bp.png,Breitbart Page - Fasion.png,Breitbart Page - Impeach.png,Daily Kos Page - Adidas.png,Daily Kos Page - Polar Bear.png,Food - Liberal Quiz.png,Food - Adidas.png,NewsMax Page - Fasion.png,NewsMax Page - Impeach.png,NYT Page - Polar Bear.png,NYT Page - Fasion.png,NYT Page2 - Polar Bear.png,NYT Page2 - Fasion.png
Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Fasion.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - bp.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Adidas.png,NewsMax Page - Adidas.png,NewsMax Page - Impeach.png,NYT Page - Polar Bear.png,NYT Page - Wallet.png,NYT Page2 - Impeach.png,NYT Page2 - Fasion.png
